epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2065,1.50723,1.51391,0.84866,0.10101,0.97695,0.50697,0.24678,1.3166,2.79842,0.8167,0.000659722,0.000659722,0.000659722
2,60.7118,1.35121,0.86907,0.83129,0.97722,0.98894,0.99262,0.59241,1.26881,0.77263,0.81878,0.00128262,0.00128262,0.00128262
3,87.6347,1.32492,0.78645,0.82639,0.99178,0.98918,0.99428,0.6585,1.13946,0.62489,0.8111,0.00186151,0.00186151,0.00186151
4,106.857,1.33679,0.75827,0.82662,0.98882,0.99027,0.99305,0.53209,1.44311,0.72961,0.8245,0.001802,0.001802,0.001802
5,137.727,1.27804,0.69618,0.82337,0.99387,0.99613,0.99422,0.67224,1.10322,0.56054,0.80781,0.001736,0.001736,0.001736
6,165.667,1.22518,0.63766,0.81752,0.99382,0.98882,0.99479,0.61621,1.27491,0.56243,0.81773,0.00167,0.00167,0.00167
7,193.744,1.205,0.6184,0.81952,0.98778,0.99419,0.99441,0.66858,1.09386,0.5083,0.80581,0.001604,0.001604,0.001604
8,221.911,1.18252,0.58665,0.81572,0.99388,0.99777,0.99388,0.65368,1.16046,0.50149,0.81536,0.001538,0.001538,0.001538
9,249.642,1.19086,0.57894,0.81702,0.99347,0.99744,0.9941,0.69584,1.04403,0.47488,0.8048,0.001472,0.001472,0.001472
10,276.092,1.15293,0.55211,0.81563,0.99236,0.99752,0.99453,0.69955,1.03653,0.48668,0.80438,0.001406,0.001406,0.001406
11,302.483,1.15837,0.55672,0.81018,0.99693,0.99792,0.99452,0.6939,1.04863,0.50899,0.80566,0.00134,0.00134,0.00134
12,328.444,1.11903,0.52659,0.81416,0.99747,0.99744,0.9947,0.69032,1.06287,0.47409,0.8065,0.001274,0.001274,0.001274
13,354.617,1.15049,0.52913,0.81065,0.99489,0.99754,0.9945,0.72538,1.03561,0.47431,0.80307,0.001208,0.001208,0.001208
14,381.166,1.10127,0.50551,0.81095,0.99503,0.99795,0.99471,0.70537,1.03795,0.45144,0.8043,0.001142,0.001142,0.001142
15,407.858,1.05312,0.49005,0.80601,0.99439,0.99886,0.99491,0.73111,0.96818,0.44628,0.79963,0.001076,0.001076,0.001076
16,434.677,1.03946,0.47499,0.80581,0.99591,0.99886,0.99491,0.741,0.93524,0.42393,0.8,0.00101,0.00101,0.00101
17,464.849,1.03166,0.46824,0.80402,0.99715,0.99744,0.99483,0.7345,0.98832,0.44465,0.79972,0.000944,0.000944,0.000944
18,493.467,1.02859,0.46246,0.80323,0.99693,0.99693,0.99452,0.73816,0.97379,0.42381,0.80076,0.000878,0.000878,0.000878
19,521.347,1.02742,0.45538,0.80272,0.99709,0.99744,0.99486,0.75817,0.90963,0.42129,0.79718,0.000812,0.000812,0.000812
20,549.705,0.99761,0.44707,0.80671,0.99693,0.99778,0.99469,0.75018,0.92607,0.41054,0.7986,0.000746,0.000746,0.000746
21,610.745,0.98027,0.4578,0.80263,0.99642,0.99699,0.99436,0.71828,0.99414,0.43232,0.80315,0.00068,0.00068,0.00068
22,639.077,0.96062,0.44611,0.80573,0.99581,0.99744,0.99382,0.73243,0.9475,0.43138,0.79889,0.000614,0.000614,0.000614
23,667.06,0.94445,0.44107,0.8021,0.99672,0.99744,0.99453,0.75021,0.92483,0.41934,0.79815,0.000548,0.000548,0.000548
24,693.758,0.9285,0.4295,0.80177,0.99732,0.99795,0.99479,0.7612,0.91369,0.40927,0.79618,0.000482,0.000482,0.000482
25,720.356,0.91994,0.41493,0.80108,0.99736,0.99744,0.9942,0.75404,0.9101,0.40049,0.79636,0.000416,0.000416,0.000416
26,746.575,0.91548,0.41808,0.79714,0.99683,0.99795,0.99441,0.76345,0.90419,0.4035,0.79641,0.00035,0.00035,0.00035
27,773.347,0.9241,0.4137,0.79817,0.99693,0.99776,0.99466,0.75517,0.91545,0.3948,0.79743,0.000284,0.000284,0.000284
28,800.698,0.88532,0.39816,0.79719,0.99677,0.99795,0.99451,0.77221,0.88328,0.38339,0.79502,0.000218,0.000218,0.000218
29,828.039,0.87449,0.39374,0.79656,0.99692,0.99795,0.9946,0.77308,0.88387,0.38088,0.7967,0.000152,0.000152,0.000152
30,854.539,0.87119,0.3871,0.79872,0.99649,0.99795,0.99456,0.77546,0.87509,0.37721,0.7954,8.6e-05,8.6e-05,8.6e-05
